id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Documents>,score<Avg. pub. year>
1,aaron newman,-0.72,-0.7108,7,8,10,2,2021.5
2,adam shriver,0.0775,0.0876,1,9,9,1,2019
3,alan worley,0.0256,-0.1364,2,19,53,9,2012.6667
4,alexandra key,-0.2854,0.8304,3,9,9,1,2017
5,amir avnit,0.6324,0.679,10,4,4,1,2025
6,amraj dhami,-0.4562,0.242,1,19,19,1,2024
7,amy hoskin,-0.3308,-0.1241,1,30,70,6,2019
8,amy lee,0.4509,-0.3427,2,8,16,3,2015.6667
9,ana alarcon,-0.0306,0.2911,1,10,10,1,2022
10,andreea pavel,-0.24,-1.0331,5,9,9,1,2019
11,andrew king,-0.4878,-0.2635,1,16,16,1,2018
12,ann stark,-0.2191,0.7344,3,9,9,1,2017
13,anna powell,0.0861,-1.0017,5,9,9,1,2019
14,annalisa hauck,-0.2468,0.2796,1,22,32,2,2024
15,annika grabbe,-0.2072,-0.2867,1,14,14,1,2022
16,anton tokariev,1.158,-0.1824,4,5,5,1,2025
17,aomesh bhatt,-0.2329,0.1492,1,33,67,6,2023
18,arlene jiang,-0.8344,-0.5519,7,6,6,1,2022
19,arnaud jeanvoine,0.147,0.5618,3,7,7,1,2024
20,behnood gholami,0.681,0.8287,10,4,4,1,2025
21,behzad tazehkand,-0.5059,1.0185,13,2,2,1,2025
22,bonnie stevens,-0.8362,-0.8037,7,6,6,1,2022
23,britney benoit,-0.5975,-0.6934,7,8,10,2,2021.5
24,caitlin kjeldsen,0.3719,0.673,3,7,7,1,2024
25,caoimhe howard,-0.1665,-0.7985,5,9,9,1,2019
26,carlo dani,0.8583,0.2977,6,9,9,1,2024
27,caroline hartley,-0.2963,0.0145,1,47,151,15,2020.2
28,carrie mccoy menser,-0.2592,0.9579,3,9,9,1,2017
29,caterina coviello,0.912,0.4224,6,9,9,1,2024
30,celeste johnston,-0.8972,-0.6717,7,6,6,1,2022
31,cesarina cossu,0.6968,0.1679,6,9,9,1,2024
32,chetan patel,-0.3161,-0.2347,1,19,24,2,2019.5
33,chinami hanai,0.3618,1.0179,9,5,5,1,2025
34,clara lunardi,0.6693,0.3996,6,9,9,1,2024
35,daniel crankshaw,-0.3068,0.3752,1,19,19,1,2024
36,daniel france,-0.0355,0.9802,3,9,9,1,2017
37,daragh finn,-0.1313,-1.0907,5,9,9,1,2019
38,debbie patten,0.0463,-0.2655,2,9,15,2,2010.5
39,deniz gursul,-0.3937,-0.0862,1,28,61,5,2019
40,dominic wilkinson,0.0251,0.1776,1,9,9,1,2019
41,don wilkes,-0.1565,0.8859,3,9,9,1,2017
42,edmund juszczak,-0.533,-0.1747,1,16,16,1,2018
43,eilon shany,-0.9051,0.4125,8,6,6,1,2013
44,elena pavlidis,-0.2533,-0.8987,5,9,9,1,2019
45,eleri adams,-0.3181,-0.0352,1,45,124,11,2019.8182
46,elisabeth norman,0.9594,-0.3027,4,9,11,2,2016.5
47,eugene dempsey,-0.0341,-0.9651,5,9,9,1,2019
48,eugene duff,-0.1266,-0.1131,1,19,35,4,2019
49,farah abu dhais,-0.047,-0.8127,5,9,9,1,2019
50,fiona moultrie,-0.3712,0.0013,1,43,101,9,2019.3333
51,foteini andritsou,-0.1362,0.0197,1,21,48,4,2021.75
52,francis mcglone,-0.6335,-0.2511,1,10,10,1,2018
53,franziska denk,-0.1226,-0.2242,1,14,14,1,2022
54,gabriela schmidt mellado,-0.2417,-0.0399,1,28,78,8,2020
55,gabrielle green,-0.223,-0.1478,1,28,60,5,2019.4
56,gareth hathway,-0.6823,-0.1312,1,10,10,1,2018
57,gemma williams,0.2716,-0.616,2,6,6,1,2016
58,geraldine boylan,-0.1379,-0.9366,5,9,9,1,2019
59,giovanna bertini,0.6209,0.2766,6,9,9,1,2024
60,guy dumont,0.3888,-1.0685,12,3,3,1,2021
61,hemani patel,0.5514,-0.2291,2,8,8,1,2018
62,hisham abdelsami awad,-1.1209,-0.0928,11,3,3,1,2018
63,ilana shiff,0.1252,-0.5749,2,8,8,1,2023
64,ingmar rosen,0.7753,-0.2832,4,6,6,1,2008
65,ismini panayotidis,0.4951,-0.1071,2,8,8,1,2018
66,ivan cepeda,-0.8089,0.7171,8,6,6,1,2013
67,jan yoxen,0.2659,0.048,2,8,8,1,2010
68,jane norman,-0.3454,-0.3404,1,16,16,1,2018
69,javad frounchi,-0.6609,0.9346,13,2,2,1,2025
70,jean yong,-0.5221,0.1451,1,19,19,1,2024
71,jean-michel roué,0.7724,0.6591,10,4,4,1,2025
72,jennifer bell,-0.4462,-0.3466,1,16,16,1,2018
73,john o’toole,-0.0076,-1.0988,5,9,9,1,2019
74,judith meek,0.2134,-0.2136,2,25,96,15,2015.2667
75,kanwaljeet anand,0.8291,0.8371,10,4,4,1,2025
76,karin stjernqvist,0.8634,-0.1828,4,6,6,1,2008
77,kathleen adderley,0.3531,0.4247,3,7,7,1,2024
78,kelly brotherhood,-0.6641,0.0858,1,8,8,1,2015
79,ken wilkens,-0.0768,0.81,3,9,9,1,2017
80,kimberley whitehead,0.3264,-0.196,2,12,34,5,2019.4
81,kirubin pillay,-0.1515,0.2046,1,20,36,4,2023.25
82,kiyoko yokoyama,0.5082,1.0404,9,5,5,1,2025
83,l taher bassiouny,-0.9761,-0.1637,11,3,3,1,2018
84,lance relland,0.2872,0.5605,3,7,7,1,2024
85,laura cornelissen,0.1542,-0.055,2,9,15,2,2010.5
86,laura jones,0.2847,-0.3495,2,14,42,6,2020
87,lelia emery,0.2367,0.6859,3,7,7,1,2024
88,lena hellstrom-westas,0.7777,-0.0955,4,6,6,1,2008
89,leonel selnovik,-1.004,0.5203,8,6,6,1,2013
